,brand,model_name,screen_size (inch),price(₹),ram,storage,cpu_model,operating_system,rating,rating_review,graphics_card_description
0,ASUS,ASUS Vivobook 15,15.6 Inches,"41,990",8 GB,512 GB,Ryzen 7,Windows 11 Home,3.9 out of 5 stars,42 ratings,Integrated
1,ASUS,ASUS TUF Gaming A15,15.6 Inches,"61,990",16 GB,no storage,AMD Ryzen 7,Windows 11 Home,4.1 out of 5 stars,481 ratings,Dedicated
2,HP,HP Laptop,39.6 Centimetres,"35,490",12 GB,512 GB,Core i3 Family,Windows 11 Home,4.0 out of 5 stars,642 ratings,Integrated
3,acer,Aspire Lite,15.6 Inches,"37,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,48 ratings,Integrated
4,HP,HP Laptop,17.3 Inches,"62,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,252 ratings,Integrated
5,acer,Aspire Lite,15.6 Inches,"27,990",16 GB,512 GB,Others,Windows 11 Home,3.9 out of 5 stars,"1,781 ratings",Integrated
6,HP,HP 15,15.6 Inches,"22,900",8 GB,256 GB,Athlon,Windows 11 Home,4.6 out of 5 stars,3 ratings,Integrated
7,acer,Aspire 3,15.6 Inches,"18,990",8 GB,256 GB,Celeron N,Windows 11 Home,3.4 out of 5 stars,643 ratings,Integrated
8,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
9,no brand,no model_name,no screen_size,649,no ram,no storage,no cpu_model,no operating_system,3.9 out of 5 stars,"4,094 ratings",No description
10,FUTOPIA,APEX,14.1 Inches,"16,870",8 GB,512 GB,Celeron N4020,Window Home 11,3.8 out of 5 stars,72 ratings,Integrated
11,ASUS,ASUS Vivobook Go 14,14 Inches,"28,990",8 GB,512 GB,Ryzen 3,Windows 11 Home,4.0 out of 5 stars,111 ratings,Integrated
12,ASUS,ASUS Vivobook 15,15.6 Inches,"32,990",8 GB,512 GB,Core i3,Windows 11 Home,4.1 out of 5 stars,186 ratings,Integrated
13,Dell,Inspiron,15.6 Inches,"39,990",16 GB,512 GB,Ryzen 5,Windows 11 Home,4.1 out of 5 stars,79 ratings,Integrated
14,acer,Aspire Lite,15.6 Inches,"30,990",8 GB,512 GB,Core i3,Windows 11 Home,3.8 out of 5 stars,501 ratings,Integrated
15,ASUS,ASUS Vivobook 16X,16 Inches,"67,990",16 GB,512 GB,Intel Core i7,Windows 11 Home,3.3 out of 5 stars,12 ratings,Dedicated
16,Lenovo,Yoga Slim 7,14 Inches,"1,04,990",32 GB,1 TB,Intel Core Ultra 9,Windows 11 Home,4.2 out of 5 stars,12 ratings,Integrated
17,acer,Acer ALG,15.6 Inches,"55,990",16 GB,512 GB,Core i5,Windows 11 Home,3.9 out of 5 stars,172 ratings,Dedicated
18,HP,HP Laptop,15.6 Inches,"59,990",16 GB,512 GB,no cpu_model,Windows 11 Home,3.9 out of 5 stars,84 ratings,Integrated
19,acer,Aspire Lite,15.6 Inches,"38,990",16 GB,512 GB,Core i5-12450H,Windows 11 Home,3.9 out of 5 stars,545 ratings,Integrated
20,HP,HP Laptop,39.6 Centimetres,"98,990",16 GB,1 TB,Ryzen 9,Windows 11 Home,3.8 out of 5 stars,229 ratings,Dedicated
21,ASUS,ASUS Vivobook 15,15.6 Inches,"41,990",8 GB,no storage,Ryzen 7,Windows 11 Home,3.9 out of 5 stars,42 ratings,Integrated
22,HP,HP Laptop,39.6 Centimetres,"54,990",16 GB,512 GB,Ryzen 7,Windows 11 Home,3.9 out of 5 stars,"1,375 ratings",Integrated
23,ASUS,ASUS Vivobook 14,14 Inches,"31,580",8 GB,512 GB,Core i3,Windows 11 Home,3.9 out of 5 stars,410 ratings,Integrated
24,Lenovo,Lenovo V15,15.6 Inches,"34,350",16 GB,512 GB,Ryzen 5,Windows 11,4.0 out of 5 stars,224 ratings,Integrated
25,ASUS,TUF Gaming F15,15.6 Inches,"62,990",,512 GB,AMD Ryzen 7,Windows 11 Home,4.1 out of 5 stars,481 ratings,Dedicated
26,Lenovo,V15,15.6 Inches,"25,979",8 GB,512 GB,Athlon,Windows 11,4.1 out of 5 stars,248 ratings,Dedicated
27,HP,HP Laptop,39.6 Centimetres,"79,990",16 GB,512 GB,Intel Core 7,Windows 11 Home,5.0 out of 5 stars,3 ratings,Dedicated
28,HP,ProBook,14 Inches,"71,990",24 GB,512 GB,Intel Core i5,Windows 11 Pro,5.0 out of 5 stars,4 ratings,Integrated
29,ASUS,ASUS Vivobook 15,15.6 Inches,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,4.0 out of 5 stars,355 ratings,Integrated
30,ASUS,ROG Strix G16,16 Inches,"1,39,990",16 GB,1000 GB,Ryzen 9,Windows 11 Home,4.3 out of 5 stars,13 ratings,Dedicated
31,ASUS,ASUS Vivobook 16,16 Inches,"52,990",16 GB,512 GB,Snapdragon X,Windows 11 Home,4.2 out of 5 stars,58 ratings,Integrated
32,HP,HP 14,14 Inches,"28,990",8 GB,512 GB,Ryzen 5,Windows 11 Pro,3.7 out of 5 stars,58 ratings,Integrated
33,ASUS,ASUS Zenbook 14,14 Inches,"92,990",,1 TB,Intel Core Ultra 5,Windows 11 Home,4.0 out of 5 stars,67 ratings,Integrated
34,JIO,JioBook,11.6 Inches,"10,990",4 GB,64 GB,Others,JioOS,3.0 out of 5 stars,469 ratings,Integrated
35,Primebook,Primebook 2 Neo 2025,11.6 Inches,"14,990",6 GB,128 GB,MediaTek Helio,PrimeOS 3.0,4.6 out of 5 stars,313 ratings,Integrated
